subject,subject_label,relation,object,object_label,subject_qid,object_qid,status,matched_property_id,matched_property_label,matched_property_uri,similarity_score
Portugal,GPE,normalisation,the Technical Committee for BIM Standardisation,ORG,Q45,,entities_not_aligned_to_wikidata,,,,0.0
Pragmatic Theory,ORG,build,2009,DATE,Q7237641,,entities_not_aligned_to_wikidata,,,,0.0
Public Services and Procurement Canada,ORG,update,31 January 2019,DATE,Q7257673,,entities_not_aligned_to_wikidata,,,,0.0
Purdue,ORG,achieve,Harvard U,ORG,Q217741,Q13371,no_predicate_found,,,,0.0
Quantum Film,ORG,choose,Greg Lynn,PERSON,Q121357737,Q513374,no_predicate_found,,,,0.0
Quantum Film,ORG,choose,Greg Lynn FORM,ORG,Q121357737,Q117114121,no_predicate_found,,,,0.0
Quantum Film,ORG,choose,Jacob van Rijs,PERSON,Q121357737,Q225927,no_predicate_found,,,,0.0
Quantum Film,ORG,choose,MVRDV,ORG,Q121357737,Q932801,no_predicate_found,,,,0.0
Rakesh Agrawal,PERSON,introduce,Arun Swami,PERSON,Q3418043,Q51140510,no_predicate_found,,,,0.0
Rakesh Agrawal,PERSON,introduce,Tomasz Imieliński,PERSON,Q3418043,,entities_not_aligned_to_wikidata,,,,0.0
Ray,PERSON,archive,26 April 2011,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Rebellion Research,ORG,predict,2008,DATE,Q24884471,,entities_not_aligned_to_wikidata,,,,0.0
Richard P.,PERSON,retrieve,September 1964,DATE,Q110409222,Q16676381,no_predicate_found,,,,0.0
Robert South,PERSON,fade,1697,DATE,Q216838,,entities_not_aligned_to_wikidata,,,,0.0
Robert South,PERSON,fade,South,PERSON,Q216838,Q667,no_predicate_found,,,,0.0
Royal Academy of Engineering;[6,ORG,former,GMW,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Royal Academy of Engineering;[6,ORG,former employee,Jonathan Ingram,PERSON,,Q112136774,entities_not_aligned_to_wikidata,,,,0.0
Russia,GPE,archive,14 April 2019,DATE,Q159,,entities_not_aligned_to_wikidata,,,,0.0
Russia,GPE,archive,the Wayback Machine,ORG,Q159,,entities_not_aligned_to_wikidata,,,,0.0
Sagrada Família,ORG,base,Buckminster Fuller's,PERSON,,Q110890662,entities_not_aligned_to_wikidata,,,,0.0
Samuel Johnson,PERSON,think,South,PERSON,Q183266,Q667,no_predicate_found,,,,0.0
San Francisco,GPE,establish,Amsterdam,GPE,Q62,Q727,no_predicate_found,,,,0.0
San Francisco,GPE,establish,Seoul,GPE,Q62,Q8684,candidate_found,P190,http://www.wikidata.org/prop/direct/P190,http://www.wikidata.org/prop/direct/P190,0.146
Santa,PERSON,run,ASP,ORG,Q16281197,,entities_not_aligned_to_wikidata,,,,0.0
Santa,PERSON,run,Kerr,PERSON,Q16281197,Q4042166,no_predicate_found,,,,0.0
Scherer,PERSON,prove,Bischof,PERSON,Q47164208,Q866108,no_predicate_found,,,,0.0
Scherer,PERSON,prove,Pfurtscheller[30,PERSON,Q47164208,,entities_not_aligned_to_wikidata,,,,0.0
School of Architecture,ORG,include,Carnegie Mellon,ORG,,Q190080,entities_not_aligned_to_wikidata,,,,0.0
School of Architecture,ORG,include,Department of Computer Science,ORG,,Q5260203,entities_not_aligned_to_wikidata,,,,0.0
School of Architecture,ORG,include,University College London,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
School of Architecture + Planning,ORG,group,Georgia Tech,ORG,,Q864855,entities_not_aligned_to_wikidata,,,,0.0
Schubert,PERSON,detection,Encyclopedia of Database Systems,ORG,Q1557438,Q63033999,no_predicate_found,,,,0.0
Science in Finance Ltd,ORG,create,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
Seoul,GPE,shape,Milan,GPE,Q8684,Q1076681,no_predicate_found,,,,0.0
September 2016,DATE,begin,the Ministry of Infrastructure and Construction,ORG,Q19249552,,entities_not_aligned_to_wikidata,,,,0.0
Serbia,GPE,announce,Belgrade,GPE,Q403,Q3711,candidate_found,P36,http://www.wikidata.org/prop/direct/P36,http://www.wikidata.org/prop/direct/P36,0.154
Serbia,GPE,announce,Huawei,ORG,Q403,Q160120,no_predicate_found,,,,0.0
Shao,PERSON,see,Feng,PERSON,Q1680909,Q62383161,no_predicate_found,,,,0.0
Shao,PERSON,see,"January 9, 2022",DATE,Q1680909,Q69306299,no_predicate_found,,,,0.0
Shao,PERSON,see,Shen,PERSON,Q1680909,,entities_not_aligned_to_wikidata,,,,0.0
Shao,PERSON,see,Zheng,PERSON,Q1680909,,entities_not_aligned_to_wikidata,,,,0.0
Shapiro,PERSON,archive,21 August 2021,DATE,Q21448747,,entities_not_aligned_to_wikidata,,,,0.0
Shapiro,PERSON,build,1981,DATE,Q21448747,,entities_not_aligned_to_wikidata,,,,0.0
Shen,PERSON,see,"January 9, 2022",DATE,,Q69306299,entities_not_aligned_to_wikidata,,,,0.0
Shen,PERSON,see,Zheng,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
Shubin,PERSON,archive,14 April 2019,DATE,Q21450387,,entities_not_aligned_to_wikidata,,,,0.0
Shubin,PERSON,possibility,Russia,GPE,Q21450387,Q159,no_predicate_found,,,,0.0
Sidewalk Labs,ORG,showcase,Singapore,GPE,Q24192719,Q334,no_predicate_found,,,,0.0
Sidewalk Labs,ORG,showcase,Smart Nation Initiative,ORG,Q24192719,,entities_not_aligned_to_wikidata,,,,0.0
Sidewalk Labs,ORG,showcase,Toronto,GPE,Q24192719,,entities_not_aligned_to_wikidata,,,,0.0
Siemens,ORG,platform,Honeywell,ORG,Q81230,Q37147733,no_predicate_found,,,,0.0
Siemens,ORG,retrieve,2004,DATE,Q81230,,entities_not_aligned_to_wikidata,,,,0.0
Siemens PLM Software,ORG,dominate,PTC,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Singapore,GPE,experience,the National Computer Board,ORG,Q334,,entities_not_aligned_to_wikidata,,,,0.0
Singapore,GPE,forecast,New York City,GPE,Q334,Q60,no_predicate_found,,,,0.0
Singapore,GPE,forecast,Tokyo,GPE,Q334,,entities_not_aligned_to_wikidata,,,,0.0
Singapore,GPE,showcase,Smart Nation Initiative,ORG,Q334,,entities_not_aligned_to_wikidata,,,,0.0
Skywalker,PERSON,turn off,1977,DATE,Q20088958,,entities_not_aligned_to_wikidata,,,,0.0
Slovakia,GPE,establish,BIMaS,ORG,Q214,Q10429684,no_predicate_found,,,,0.0
Slovakia,GPE,establish,January 2013,DATE,Q214,Q1206823,no_predicate_found,,,,0.0
Sokolowski,PERSON,design,2009,DATE,Q37553056,,entities_not_aligned_to_wikidata,,,,0.0
Sokolowski,PERSON,design,Banks,PERSON,Q37553056,Q806825,no_predicate_found,,,,0.0
Solomonoff,PERSON,archive,26 April 2011,DATE,Q74351358,,entities_not_aligned_to_wikidata,,,,0.0
Soramäki,PERSON,economize,Reserve Bank of New York Economic Policy Review,ORG,Q104669312,,entities_not_aligned_to_wikidata,,,,0.0
South,PERSON,fade,1697,DATE,Q667,,entities_not_aligned_to_wikidata,,,,0.0
South Africa,GPE,establish,May 2015,DATE,Q258,Q16726271,no_predicate_found,,,,0.0
South Korea,GPE,exist,the 1990s,DATE,Q884,,entities_not_aligned_to_wikidata,,,,0.0
Spain,GPE,establish,ITeC,ORG,Q29,,entities_not_aligned_to_wikidata,,,,0.0
Spain,GPE,launch,2018,DATE,Q29,,entities_not_aligned_to_wikidata,,,,0.0
Spain,GPE,launch,BIM,ORG,Q29,,entities_not_aligned_to_wikidata,,,,0.0
Spain,GPE,launch,Ministry of Infrastructure,ORG,Q29,,entities_not_aligned_to_wikidata,,,,0.0
Steel Construction Institute,ORG,develop,the late 1990s,DATE,Q30252808,,entities_not_aligned_to_wikidata,,,,0.0
Steel Construction Institute,ORG,late 1990 input,Georgia Tech,ORG,Q30252808,Q864855,no_predicate_found,,,,0.0
SteelVis,ORG,viewer,NIST,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Stockholm,GPE,see,Hong Kong,GPE,Q1754,Q8646,no_predicate_found,,,,0.0
Stockholm,GPE,see,the Cyberport Zone,GPE,Q1754,,entities_not_aligned_to_wikidata,,,,0.0
Switzerland,GPE,raise,2009,DATE,Q39,,entities_not_aligned_to_wikidata,,,,0.0
Switzerland,GPE,raise,2013,DATE,Q39,,entities_not_aligned_to_wikidata,,,,0.0
Switzerland,GPE,through initiative,2013,DATE,Q39,,entities_not_aligned_to_wikidata,,,,0.0
Sydney Australia,GPE,page,Yu-Tung Liu,PERSON,Q3845253,,entities_not_aligned_to_wikidata,,,,0.0
Taipei,GPE,showcase,Taiwan,GPE,Q1867,Q22502,candidate_found,P1376,http://www.wikidata.org/prop/direct/P1376,http://www.wikidata.org/prop/direct/P1376,0.146
"Taoyuan,[165",GPE,partner,Tainan[166,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
Tencent,ORG,clash,China,GPE,Q860580,Q148,candidate_found,P17,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/prop/direct/P17,0.056
Tencent,ORG,launch,Tencent Doctorwork,ORG,Q860580,,entities_not_aligned_to_wikidata,,,,0.0
Tencent,ORG,launch,WeChat Intelligent Healthcare,ORG,Q860580,,entities_not_aligned_to_wikidata,,,,0.0
Tencent,ORG,shape,China,GPE,Q860580,Q148,candidate_found,P17,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/prop/direct/P17,0.25
The BCA Academy,ORG,train,Japan,GPE,,Q17,entities_not_aligned_to_wikidata,,,,0.0
The European Commission,ORG,establish,2012,DATE,Q99921735,,entities_not_aligned_to_wikidata,,,,0.0
The European Commission,ORG,establish,the Smart Cities Marketplace,ORG,Q99921735,,entities_not_aligned_to_wikidata,,,,0.0
The First Year,DATE,describe,China,GPE,Q54121449,Q148,no_predicate_found,,,,0.0
The MIT Press,ORG,reprint,1991,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
The MIT Press,ORG,reprint,Cambridge,GPE,,Q49111,entities_not_aligned_to_wikidata,,,,0.0
The MIT Press,ORG,reprint,MA,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
The Ministry of Science and Technology,ORG,announce,MOST,ORG,,Q146363,entities_not_aligned_to_wikidata,,,,0.0
The Netherlands,GPE,say,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
The Sun,ORG,archive,Nigeria,GPE,,Q1033,entities_not_aligned_to_wikidata,,,,0.0
The University of Sydney,ORG,offer,the University of New South Wales,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
The Wall Street Journal,ORG,note,2008,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
The Wall Street Journal,ORG,note,Rebellion Research,ORG,,Q24884471,entities_not_aligned_to_wikidata,,,,0.0
Tokyo,GPE,forecast,New York City,GPE,,Q60,entities_not_aligned_to_wikidata,,,,0.0
Tomasz Imieliński,PERSON,introduce,Arun Swami,PERSON,,Q51140510,entities_not_aligned_to_wikidata,,,,0.0
Toronto,GPE,showcase,Singapore,GPE,,Q334,entities_not_aligned_to_wikidata,,,,0.0
Toronto,GPE,showcase,Smart Nation Initiative,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
UAE,GPE,set,Quality and Conformity Commission,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,adopt,US,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,call,Paul Morrell,PERSON,,Q16732880,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,describe,2011,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,develop,Steel Construction Institute,ORG,,Q30252808,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,develop,US,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,develop,the late 1990s,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,find,Commission for Racial Equality,ORG,,Q5152654,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,find,St. George's Medical School,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,former,GMW,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,former employee,Jonathan Ingram,PERSON,,Q112136774,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,help,US,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,late 1990 input,Georgia Tech,ORG,,Q864855,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,merge,Ireland,GPE,,Q27,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,process practice.[112,National Building Specification,ORG,,Q6971141,entities_not_aligned_to_wikidata,,,,0.0
UK,GPE,work,Royal Academy of Engineering;[6,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
UK BIM Alliance,ORG,launch,BSI,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
UK BIM Alliance,ORG,launch,CDBB,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
UK BIM Alliance,ORG,merge,BIM,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
UN,ORG,forecast,2100,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
UN,ORG,member,United States,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
US,GPE,base,National Institute of Building Sciences,ORG,,Q6973613,entities_not_aligned_to_wikidata,,,,0.0
US,GPE,estimate,Institute of Standards and Technology,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
US,GPE,estimate,NIST,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
US,GPE,know,Design and Computation,ORG,,Q26751087,entities_not_aligned_to_wikidata,,,,0.0
United Arab Emirates,GPE,issue,2014,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
United Kingdom,GPE,call,May 2011,DATE,,Q276430,entities_not_aligned_to_wikidata,,,,0.0
United Kingdom,GPE,call,Paul Morrell,PERSON,,Q16732880,entities_not_aligned_to_wikidata,,,,0.0
United Kingdom,GPE,call,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
United States,GPE,require,Associated General Contractors of America,ORG,,Q21015616,entities_not_aligned_to_wikidata,,,,0.0
United States,GPE,require,US,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
University of Melbourne,ORG,include,Carnegie Mellon,ORG,,Q190080,entities_not_aligned_to_wikidata,,,,0.0
University of Melbourne,ORG,include,Department of Computer Science,ORG,,Q5260203,entities_not_aligned_to_wikidata,,,,0.0
University of Melbourne,ORG,include,School of Architecture,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
University of Technology,ORG,page,Yu-Tung Liu,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
University of Twente,ORG,begin,Knowledge Graphs,ORG,,Q33002955,entities_not_aligned_to_wikidata,,,,0.0
Virginia Tech’s,ORG,utilize,SmithGroup,ORG,,Q7544941,entities_not_aligned_to_wikidata,,,,0.0
Volker Wissing,PERSON,announced,2025,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
WGBH,ORG,discuss,Polshek Partnership,ORG,,Q107005228,entities_not_aligned_to_wikidata,,,,0.0
Walter Pitts,PERSON,contribute,Warren McCulloch,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
Walter Pitts,PERSON,follow,Frank Rosenblatt,PERSON,,Q93018,entities_not_aligned_to_wikidata,,,,0.0
Warren McCulloch,PERSON,become,Walter Pitts,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
Watson,PERSON,recommend,STAT,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
WeChat Intelligent Healthcare,ORG,launch,Tencent Doctorwork,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
What If,ORG,specialize,StatFox,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Wikipedia,ORG,focus,Freebase,ORG,,Q1453477,entities_not_aligned_to_wikidata,,,,0.0
Wolfram,PERSON,retrieve,2016,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
WolframAlpha,ORG,associate,Amazon,ORG,,Q3884,entities_not_aligned_to_wikidata,,,,0.0
WolframAlpha,ORG,associate,Apple,ORG,,Q312,entities_not_aligned_to_wikidata,,,,0.0
Wöß,PERSON,retrieve,2016,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Wöß,PERSON,retrieve,Wolfram,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
YAGO,ORG,use,Wikidata,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Yahoo,ORG,answer,Apple,ORG,,Q312,entities_not_aligned_to_wikidata,,,,0.0
Yahoo,ORG,answer,WolframAlpha,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Yahoo,ORG,semantic search assistant,Google,ORG,,Q95,entities_not_aligned_to_wikidata,,,,0.0
Yahoo,ORG,semantic search assistant,Microsoft,ORG,,Q2283,entities_not_aligned_to_wikidata,,,,0.0
Zendejas,PERSON,et al,2013,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
Zheng,PERSON,see,"January 9, 2022",DATE,,Q69306299,entities_not_aligned_to_wikidata,,,,0.0
Zhou,PERSON,et al,2020,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
annual,DATE,become,Taipei,GPE,,Q1867,entities_not_aligned_to_wikidata,,,,0.0
annually,DATE,estimate,U.S.,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
annually,DATE,hold,2012,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
buildingSMART,ORG,call,1989,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
buildingSMART,ORG,call,Mediaconstruct,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
buildingSMART,ORG,merge,BIM,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
buildingSMART Canada,ORG,canadian chapter,buildingSMART International).[117,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
buildingSMART Norway,ORG,represent,Poland,GPE,,Q36,entities_not_aligned_to_wikidata,,,,0.0
early 1980s,DATE,fall,1983,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
early 1980s,DATE,fall,1985,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
early 1980s,DATE,include,Chuck Eastman's,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
early 1980s to 1990s,DATE,edit]advance technology,the 1980s,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
early 2000s–present,DATE,advent virtual cinematography,the early 2000s,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
early 2018,DATE,italian,Ministry of Infrastructure and Transport,ORG,,Q127973263,entities_not_aligned_to_wikidata,,,,0.0
early 2018.[108,DATE,outside government industry adoption,2016,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
early March 2026,DATE,schedule,June 2026.[34,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
et al.,ORG,propose,2019,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
monthly,DATE,electricity usage around average,U.S.,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
the 1950s,DATE,use,Arthur Samuel,PERSON,,Q710266,entities_not_aligned_to_wikidata,,,,0.0
the 1970s,DATE,agree,the early 2000s,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the 1970s,DATE,describe,Duda,PERSON,,Q24283002,entities_not_aligned_to_wikidata,,,,0.0
the 1970s,DATE,describe,Hart,PERSON,,Q1587003,entities_not_aligned_to_wikidata,,,,0.0
the 1970s,DATE,fall,1983,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the 1970s,DATE,fall,early 1980s,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the 1980s,DATE,make computer affordable capable,"previous decades,[61",DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the 2010s,DATE,launch,Bloomberg Philanthropies,ORG,,Q16987920,entities_not_aligned_to_wikidata,,,,0.0
the 2010s,DATE,launch,the Rockefeller Foundation,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the 2010s,DATE,launch,the United States Department of Transportation.[21,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Association for the Development of Digital in Construction,ORG,found,2017,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the Association for the Development of Digital in Construction,ORG,supersede,AND Construction,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Australian Government,ORG,commission,the Australasian Procurement and Construction Council,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the BIM Task Group,ORG,continue under,Cambridge,GPE,,Q49111,entities_not_aligned_to_wikidata,,,,0.0
the BIM Task Group,ORG,continue under,Centre for Digital Built Britain,ORG,,Q85751274,entities_not_aligned_to_wikidata,,,,0.0
the BSI Group,ORG,launch,the UK BIM Framework,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Canada BIM Council,ORG,found,the Institute for BIM,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Canada BIM Council,ORG,support,CANBIM,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Civil and Environmental Engineering Department,ORG,found,Amirkabir University of Technology.[67,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Clinton Foundation,ORG,establish,San Francisco,GPE,,Q62,entities_not_aligned_to_wikidata,,,,0.0
the Community Analysis Bureau,ORG,experience,Los Angeles,GPE,,Q65,entities_not_aligned_to_wikidata,,,,0.0
the Community Analysis Bureau,ORG,experience,the late 1960s[50,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the Community Analysis Bureau,ORG,late establishment,Singapore,GPE,,Q334,entities_not_aligned_to_wikidata,,,,0.0
the Computing Research Association,ORG,make,2021,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the Construction Industry Development Board,ORG,aim,CIDB Malaysia,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Cyberport Zone,GPE,see,Hong Kong,GPE,,Q8646,entities_not_aligned_to_wikidata,,,,0.0
the Institute for BIM,ORG,canadian chapter,buildingSMART International).[117,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Institute for BIM,ORG,support,buildingSMART Canada,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Key Centre of Design Computing and Cognition,ORG,know,the Design Lab,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Key Centre of Design Computing and Cognition,ORG,know,the University of Sydney,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Kista Science City,GPE,see,Hong Kong,GPE,,Q8646,entities_not_aligned_to_wikidata,,,,0.0
the Kista Science City,GPE,see,Stockholm,GPE,,Q1754,entities_not_aligned_to_wikidata,,,,0.0
the Kista Science City,GPE,see,the Cyberport Zone,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
the Massachusetts Institute of Technology,ORG,know,MIT,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the National Institute of Building Sciences,ORG,look,NIBS,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the National Institute of Building Sciences,ORG,look,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
the National Institute of Building Sciences,ORG,look,US,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
"the Rijksgebouwendienst,",ORG,agency within,"Ministry of Housing, Spatial Planning and the Environment",ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Rockefeller Foundation,ORG,launch,the United States Department of Transportation.[21,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Smart Cities Marketplace,ORG,centralized hub urban initiative,the European Union.[57,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Smart City Expo World Congress,ORG,attract,Barcelona,GPE,,Q1492,entities_not_aligned_to_wikidata,,,,0.0
the Society for Simulation in Healthcare,ORG,form,SSH,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Swiss Society for Engineers and Architects,ORG,call,May 2011,DATE,,Q276430,entities_not_aligned_to_wikidata,,,,0.0
the Swiss Society for Engineers and Architects,ORG,call,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
the Swiss Society for Engineers and Architects,ORG,call,United Kingdom,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
the Technical Committee for BIM Standardisation,ORG,begin,CT197-BIM,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the UK BIM Alliance,ORG,merge,Ireland,GPE,,Q27,entities_not_aligned_to_wikidata,,,,0.0
the UK BIM Alliance,ORG,merge,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
the UK BIM Alliance[a,ORG,launch,the BSI Group,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the UK BIM Alliance[a,ORG,launch,the UK BIM Framework,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the United Kingdom,GPE,become,2007,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the United Nations Development Programme,ORG,use revised form,the World Bank,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the University of Groningen,ORG,begin,Knowledge Graphs,ORG,,Q33002955,entities_not_aligned_to_wikidata,,,,0.0
the University of Groningen,ORG,begin,University of Twente,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the University of Illinois at Chicago,ORG,allow,UIC,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the University of Leeds,ORG,develop,Steel Construction Institute,ORG,,Q30252808,entities_not_aligned_to_wikidata,,,,0.0
the University of Leeds,ORG,develop,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
the University of Leeds,ORG,develop,the late 1990s,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the University of New South Wales,ORG,offer,Sydney,GPE,,Q3130,entities_not_aligned_to_wikidata,,,,0.0
the University of Québec,ORG,specialize,Chicoutimi,GPE,,Q952269,entities_not_aligned_to_wikidata,,,,0.0
the University of Sydney,ORG,more than year,the late 1960s,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the Wayback Machine,ORG,archive,CAEWatch,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the Wayback Machine,ORG,archive,"September 12, 2011",DATE,,Q22664452,entities_not_aligned_to_wikidata,,,,0.0
the Wayback Machine,ORG,design,Encyclopedia of Computer Science,ORG,,Q126683668,entities_not_aligned_to_wikidata,,,,0.0
the Wayback Machine,ORG,magazine,December 2011,DATE,,Q386251,entities_not_aligned_to_wikidata,,,,0.0
the Wayback Machine,ORG,thesis,1970,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the Wayback Machine,ORG,thesis,University of Edinburgh,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the early 1950s,DATE,pioneer like,Alan Turing,PERSON,,Q7251,entities_not_aligned_to_wikidata,,,,0.0
the early days,DATE,transition,the World Wide Web,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the late 1960s[50,DATE,establishment,Singapore,GPE,,Q334,entities_not_aligned_to_wikidata,,,,0.0
the late 1960s[50,DATE,establishment,the National Computer Board,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the late 1970s,DATE,emerge,early 1980s,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the late 1970s,DATE,include,Chuck Eastman's,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the late 1980s,DATE,begin,University of Twente,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the late 1980s,DATE,begin,the University of Groningen,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the late 1990s,DATE,approve,the American Institute of Steel Construction,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
the late 1990s,DATE,input,Georgia Tech,ORG,,Q864855,entities_not_aligned_to_wikidata,,,,0.0
the mid-1980s,DATE,acknowledge,1985,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
the mid-2010s,DATE,emerge,Autodesk,ORG,,Q628051,entities_not_aligned_to_wikidata,,,,0.0
the year 2011,DATE,describe,China,GPE,,Q148,entities_not_aligned_to_wikidata,,,,0.0
the year 2011,DATE,describe,The First Year,DATE,,Q54121449,entities_not_aligned_to_wikidata,,,,0.0
the year 2020,DATE,lead,CIDB Malaysia,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
